"pedon_key","layer_key","layer_sequence","layer_field_label_1","layer_field_label_2","layer_field_label_3","hzn_top","hzn_bot","hzn_desgn","texture_description","N_tot_6B3a_Sjj_% wt_121_CMS_0_0","pH_h2o_8C1f_Sjj_(NA)_123_CMS_0_0","pH_h2o_8C1a_Sjj_(NA)_123_ILSCL_0_0","vp752_d-1_S"
"93P0043","93P00325","1","","","","0","3","A1","","0.454","6.7","","1"
"93P0043","93P00326","2","","","","3","6","A2","","0.220","7.3","","5"
"93P0043","93P00327","3","","","","6","23","C1","","","7.9","","6"
"93P0043","93P00328","4","","","","23","54","C","","","8.0","","11"
"93P0043","93P00329","5","","","","54","85","C","","","8.0","","16"
"93P0043","93P00330","6","","","","85","126","C3","","","8.0","","15"
"93P0043","93P00331","7","","","","126","139","C4","","","8.0","","19"
"93P0043","93P00332","8","","","","139","152","C5","","","8.0","","24"
"93P0043","93P00333","9","","","","0","3","2Bt5","","","","",""
"93P0043","93P00334","10","","DISSECT","","0","3","","","","","",""
"93P0043","93P00335","11","","","","0","1","A","","","","",""
"93P0043","93P00336","12","","","","0","2","A","","","","",""
"93P0043","93P00337","13","","","","2","3","A","","","","",""
"93P0043","93P00338","14","","","","0","1","A","","","","",""
"93P0043","93P00339","15","","","","1","3","A","","","","",""
"93P0044","93P00340","1","","","","0","12","A1","","0.488","7.2","","1"
"93P0044","93P00341","2","","","","12","36","A2","","0.346","7.6","","1"
"93P0044","93P00342","3","","","","36","59","A3","","0.348","7.7","","1"
"93P0044","93P00343","4","","","","59","101","C1","","","7.8","","3"
"93P0044","93P00344","5","","","","101","121","C2","","","8.1","","7"
"93P0044","93P00345","6","","","","121","165","C3","","","8.0","","11"
"93P0044","93P00346","7","","","","0","2","A","","","","",""
"93P0044","93P00347","8","","","","2","3","A","","","","",""
"93P0044","93P00348","9","","","","0","2","A","","","","",""
"93P0044","93P00349","10","","","","2","4","A","","","","",""
"93P0045","93P00350","1","","","","0","7","A1","","0.667","7.0","",""
"93P0045","93P00351","2","","","","7","13","A2","","0.690","7.3","","1"
"93P0045","93P00352","3","","","","13","31","A3","","0.503","7.5","","1"
"93P0045","93P00353","4","","","","31","44","A4","","0.485","7.5","","9"
"93P0045","93P00354","5","","","","44","65","A5","","0.442","7.3","",""
"93P0045","93P00355","6","","","","65","83","A6","","0.433","7.7","","2"
"93P0045","93P00356","7","","","","83","110","AC","","","8.0","","7"
"93P0045","93P00357","8","","","","110","153","C1","","","8.1","","19"
"93P0045","93P00358","9","","","","153","175","C2","","","8.1","","8"
"93P0045","93P00359","10","","","","30","90","","","","","",""
"93P0045","93P00360","11","","FOR ROOTS","","0","10","","","","","",""
"93P0045","93P00361","12","","","","0","2","A","","","","",""
"93P0045","93P00362","13","","","","2","3","A","","","","",""
"93P0045","93P00363","14","","","","0","2","A","","","","",""
"93P0045","93P00364","15","","","","2","4","A","","","","",""
"93P0046","93P00365","1","","","","0","4","A1","","0.535","7.2","","1"
"93P0046","93P00366","2","","","","4","13","A2","","0.530","7.4","",""
"93P0046","93P00367","3","","","","13","26","AC","","","7.7","","2"
"93P0046","93P00368","4","","","","26","48","C1","","","8.2","","6"
"93P0046","93P00369","5","","","","48","78","C2","","","8.1","","7"
"93P0046","93P00370","6","","","","78","85","C3","","","8.2","","7"
"93P0046","93P00371","7","","","","85","115","C4","","","8.3","","55"
"93P0046","93P00372","8","","","","115","123","C5","","","7.9","","5"
"93P0046","93P00373","9","","","","0","2","A","","","","",""
"93P0046","93P00374","10","","","","2","3","A","","","","",""
"93P0046","93P00375","11","","","","0","1","A","","","","",""
"93P0046","93P00376","12","","","","1","3","A","","","","",""
"93P0047","93P00377","1","","","","0","11","A1","","0.388","7.6","","3"
"93P0047","93P00378","2","","","","11","23","A2","","0.401","7.9","","4"
"93P0047","93P00379","3","","","","23","36","C1","","","8.2","","10"
"93P0047","93P00380","4","","","","36","53","C2","","","8.3","","25"
"93P0047","93P00381","5","","","","53","75","C3","","","8.2","","10"
"93P0047","93P00382","6","","","","75","100","C4","","","8.2","","6"
"93P0047","93P00383","7","","","","100","127","C5","","","8.2","","11"
"93P0047","93P00384","8","","","","127","152","C6","","","8.2","","15"
"94P0093","94P00701","1","","","","0","7","A1","Silty clay loam","","6.6","","0"
"94P0093","94P00702","2","","","","7","16","A2","Silty clay loam","","7.1","","0"
"94P0093","94P00703","3","","","","16","33","A3","Silty clay loam","","7.3","","0"
"94P0093","94P00704","4","","","","33","59","AC","LS","","7.7","","6"
"94P0093","94P00705","5","","","","59","150","C","Sand","","8.2","","5"
"94P0093","94P00706","6","","","","0","0","A","","","","",""
"94P0094","94P00707","1","","","","0","8","A1","Loam","","6.8","","0"
"94P0094","94P00708","2","","","","8","16","A2","Loam","","6.9","","0"
"94P0094","94P00709","3","","","","16","28","A3","Loam","","7.2","","2"
"94P0094","94P00710","4","","","","28","44","A4","Loam","","7.4","","1"
"94P0094","94P00711","5","","","","44","58","AC","cl","","7.3","","1"
"94P0094","94P00712","6","","","","58","74","C1","Clay","","7.7","","0"
"94P0094","94P00713","7","","","","74","90","C2","Clay","","7.9","","0"
"94P0094","94P00714","8","","","","90","116","C3","Clay","","8.0","","2"
"94P0094","94P00715","9","","","","116","152","C4","Clay","","8.1","","1"
"94P0094","94P00716","10","","","","0","0","","","","","",""
"73IL031021","IL23544","1","","","","0","15","Ap","","","","7.5",""
"73IL031021","IL23545","2","","","","15","25","A12","","","","7.4",""
"73IL031021","IL23546","3","","","","25","33","A3","","","","7.4",""
"73IL031021","IL23547","4","","","","33","43","B21","","","","7.5",""
"73IL031021","IL23548","5","","","","43","53","B21","","","","7.6",""
"73IL031021","IL23549","6","","","","53","66","B21","","","","7.8",""
"73IL031021","IL23550","7","","","","66","79","IIB22","","","","8.1",""
"73IL031021","IL23551","8","","","","79","109","IIB3","","","","8.1",""
"73IL031021","IL23552","9","","","","109","152","IIC","","","","7.9",""
